AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
10001,01A,Afognak Lake Airport,"Afognak Lake, AK",United States,Alaska,58.10944444,-152.90666667,1
10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",United States,Alaska,65.54805556,-161.07166667,1
10004,04A,Lik Mining Camp,"Lik, AK",United States,Alaska,68.08333333,-163.16666667,1
10005,05A,Little Squaw Airport,"Little Squaw, AK",United States,Alaska,67.57,-148.18388889,1
10006,06A,Kizhuyak Bay,"Kizhuyak, AK",United States,Alaska,57.74527778,-152.88277778,1
10007,07A,Klawock Seaplane Base,"Klawock, AK",United States,Alaska,55.55472222,-133.10166667,1
10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",United States,Alaska,59.15694444,-151.82916667,1
10009,09A,Augustin Island,"Homer, AK",United States,Alaska,59.36277778,-153.43055556,1
10010,1B1,Columbia County,"Hudson, NY",United States,New York,42.29138889,-73.71027778,1
10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States,Arizona,35.98611111,-113.81694444,1
10012,1N7,Blairstown Airport,"Blairstown, NJ",United States,New Jersey,40.97111111,-74.9975,1
10013,8F3,Crosbyton Municipal,"Crosbyton, TX",United States,Texas,33.62388889,-101.24083333,1
10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,64.36361111,-147.36527778,1
10015,A02,Deadmans Bay Airport,"Deadmans Bay, AK",United States,Alaska,57.06666667,-153.93777778,1
10016,A03,Hallo Bay Airport,"Hallo Bay, AK",United States,Alaska,58.4575,-154.02333333,1
10017,A04,Red Lake Airport,"Red Lake, AK",United States,Alaska,57.27722222,-154.34222222,1
10018,A05,Shell Lake Airport,"Shell Lake, AK",United States,Alaska,61.96388889,-151.55583333,1
10019,A06,Navigator Airstrip,"Kougarok, AK",United States,Alaska,65.65555556,-165.35638889,1
10020,A07,Roland Norton Memorial,"Selawik, AK",United States,Alaska,66.76611111,-160.15277778,1
10021,A08,Pillar Bay Airport,"Pillar Bay, AK",United States,Alaska,56.59805556,-134.24277778,1
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,60.48166667,-146.58416667,1
10023,KTH,Tikchik Lodge Airport,"Tikchik Lodge, AK",United States,Alaska,59.95555556,-158.48055556,1
